ID_OKRES;OKRES
CZ0111;Praha 1
CZ0112 ;Praha 2
CZ0113 ;Praha 3
CZ0114 ;Praha 4
CZ0115 ;Praha 5
CZ0116 ;Praha 6
CZ0117 ;Praha 7
CZ0118  ;Praha 8
CZ0119 ;Praha 9
CZ011A ;Praha 10 
CZ011B ;Praha 11
CZ011C ;Praha 12 
CZ011D ;Praha 13 
CZ011E ;Praha 14 
CZ011F ;Praha 15 
CZ0211;Benešov
CZ0212 ;Beroun
CZ0213 ;Kladno
CZ0214  ;Kolín
CZ0215  ;Kutná Hora
CZ0216  ;Mělník 
CZ0217  ;Mladá Boleslav
CZ0218 ;Nymburk
CZ0219  ;Praha-východ
CZ021A  ;Praha-západ
CZ021B  ;Příbram 
CZ021C ;Rakovník
CZ0311;České Budějovice 
CZ0312  ;Český Krumlov
CZ0313;Jindřichův Hradec 
CZ0314  ;Písek 
CZ0315  ;Prachatice 
CZ0316  ;Strakonice 
CZ0317  ;Tábor 
CZ0321;Domažlice 
CZ0322  ;Klatovy
CZ0323;Plzeň-město 
CZ0324  ;Plzeň-jih 
CZ0325  ;Plzeň-sever 
CZ0326  ;Rokycany
CZ0327  ;Tachov
CZ0411;Cheb 
CZ0412  ;Karlovy Vary
CZ0413  ;Sokolov
CZ0421;Děčín 
CZ0422  ;Chomutov
CZ0423  ;Litoměřice 
CZ0424  ;Louny
CZ0425  ;Most 
CZ0426  ;Teplice 
CZ0427  ;Ústí nad Labem 
CZ0511;Česká Lípa 
CZ0512  ;Jablonec nad Nisou 
CZ0513  ;Liberec 
CZ0514  ;Semily
CZ0521;Hradec Králové 
CZ0522  ;Jičín 
CZ0523;Náchod
CZ0524 ;Rychnov nad Kněžnou 
CZ0525  ;Trutnov
CZ0531;Chrudim
CZ0532  ;Pardubice 
CZ0533  ;Svitavy
CZ0534  ;Ústí nad Orlicí 
CZ0611;Havlíčkův Brod 
CZ0612;Jihlava
CZ0613  ;Pelhřimov
CZ0614  ;Třebíč
CZ0615  ;Žďár nad Sázavou 
CZ0621;Blansko 
CZ0622  ;Brno-město 
CZ0623  ;Brno-venkov
CZ0624  ;Břeclav
CZ0625  ;Hodonín 
CZ0626  ;Vyškov
CZ0627  ;Znojmo 
CZ0711;Jeseník 
CZ0712  ;Olomouc 
CZ0713  ;Prostějov
CZ0714;Přerov
CZ0715  ;Šumperk 
CZ0721;Kroměříž
CZ0722  ;Uherské Hradiště
CZ0723  ;Vsetín 
CZ0724  ;Zlín 
CZ0811;Bruntál
CZ0812  ;Frýdek - Místek 
CZ0813  ;Karviná
CZ0814  ;Nový Jičín 
CZ0815  ;Opava
CZ0816 ;Ostrava - město 
