RedIzo,Název školy,Adresa 1,Adresa 2,Adresa 3,ADRESA_KOMPLET,Okres,Právní forma,Zřizovatel,Název zařízení,IZO,Kapacita zařízení
600001431,"Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov",Koněvova 100,Bohosudov,417 42 Krupka,"Koněvova 100, Bohosudov",CZ0426,641,6,Střední škola,108019578,300
600001661,"Academic School, Mateřská škola, základní škola a střední škola, s.r.o.",Studentské náměstí 1531,Mařatice,686 01 Uherské Hradiště,"Studentské náměstí 1531, Mařatice",CZ0722,112,5,Střední škola,181134799,80
600001873,"Gymnázium a Hudební škola hlavního města Prahy, základní umělecká škola",Komenského náměstí 400/9,Žižkov,130 00 Praha 3,"Komenského náměstí 400/9, Žižkov",CZ0113,331,7,Střední škola,181033666,310
600004520,Obchodní akademie Dušní,Dušní 1083/7,Staré Město,110 00 Praha 1,"Dušní 1083/7, Staré Město",CZ0111,331,7,Střední škola,000638447,600
600004546,"Gymnázium Jiřího Gutha-Jarkovského, Praha 1, Truhlářská 22",Truhlářská 1120/22,Nové Město,110 00 Praha 1,"Truhlářská 1120/22, Nové Město",CZ0111,331,7,Střední škola,060446218,480
600004554,"Střední průmyslová škola sdělovací techniky, Praha 1, Panská 3",Panská 856/3,Nové Město,110 00 Praha 1,"Panská 856/3, Nové Město",CZ0111,331,7,Střední škola,061388866,720
600004562,"Vyšší odborná škola grafická a Střední průmyslová škola grafická, Praha 1, Hellichova 22",Hellichova 535/22,Malá Strana,118 00 Praha 1,"Hellichova 535/22, Malá Strana",CZ0111,331,7,Střední škola,000638595,330
600004589,"Gymnázium Jana Nerudy, škola hlavního města Prahy, Praha 1, Hellichova 3",Hellichova 457/3,Malá Strana,118 00 Praha 1,"Hellichova 457/3, Malá Strana",CZ0111,331,7,Střední škola,110001656,880
600004597,"Malostranské gymnázium, Praha 1, Josefská 7",Josefská 626/7,Malá Strana,118 00 Praha 1,"Josefská 626/7, Malá Strana",CZ0111,331,7,Střední škola,063109662,480
600004619,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Dušní 900/17,Staré Město,110 00 Praha 1,"Dušní 900/17, Staré Město",CZ0111,331,7,Střední škola,061388726,540
600004627,"Vyšší odborná škola textilních řemesel a Střední umělecká škola textilních řemesel, Praha 1, U Půjčovny 9",U Půjčovny 1274/9,Nové Město,110 00 Praha 1,"U Půjčovny 1274/9, Nové Město",CZ0111,331,7,Střední škola,061387002,120
600004635,"GYMNÁZIUM JANA PALACHA PRAHA 1, s.r.o.",Pštrossova 203/13,Nové Město,110 00 Praha 1,"Pštrossova 203/13, Nové Město",CZ0111,112,5,Střední škola,013094394,200
600004643,"Vyšší odborná škola a Střední průmyslová škola dopravní, Praha 1, Masná 18",Masná 1000/18,Staré Město,110 00 Praha 1,"Masná 1000/18, Staré Město",CZ0111,331,7,Střední škola,000638293,780
600004678,"Masarykova střední škola chemická, Praha 1, Křemencova 12",Křemencova 179/12,Nové Město,110 00 Praha 1,"Křemencova 179/12, Nové Město",CZ0111,331,7,Střední škola,000638307,420
600004686,"Střední průmyslová škola strojnická, škola hlavního města Prahy, Praha 1, Betlémská 4/287",Betlémská 287/4,Staré Město,110 00 Praha 1,"Betlémská 287/4, Staré Město",CZ0111,331,7,Střední škola,110032641,500
600004694,"Gymnázium prof. Jana Patočky, Praha 1, Jindřišská 36",Jindřišská 966/36,Nové Město,110 00 Praha 1,"Jindřišská 966/36, Nové Město",CZ0111,331,7,Střední škola,060449004,660
600004708,"Akademické gymnázium a Jazyková škola s právem státní jazykové zkoušky, školy hlavního města Prahy",Štěpánská 614/22,Nové Město,110 00 Praha 1,"Štěpánská 614/22, Nové Město",CZ0111,331,7,Střední škola,110001630,450
600004724,"Gymnázium, Praha 2, Botičská 1",Botičská 424/1,Nové Město,128 00 Praha 2,"Botičská 424/1, Nové Město",CZ0112,331,7,Střední škola,000334677,435
600004741,"Hotelová škola, Praha 10, Vršovická 43",Vršovická 564/43,Vršovice,101 00 Praha 10,"Vršovická 564/43, Vršovice",CZ011A,331,7,Střední škola,000638552,640
600004759,"Českoslovanská akademie obchodní Dr. Edvarda Beneše, střední odborná škola, Praha 2, Resslova 8",Resslova 1780/8,Nové Město,120 00 Praha 2,"Resslova 1780/8, Nové Město",CZ0112,331,7,Střední škola,000638463,1550
600004775,Obchodní akademie Vinohradská,Vinohradská 1971/38,Vinohrady,120 00 Praha 2,"Vinohradská 1971/38, Vinohrady",CZ0112,331,7,Střední škola,000283762,725
600004783,"Střední průmyslová škola elektrotechnická, Praha 2, Ječná 30",Ječná 517/30,Nové Město,120 00 Praha 2,"Ječná 517/30, Nové Město",CZ0112,331,7,Střední škola,000638374,870
600004791,Arcibiskupské gymnázium,Korunní 586/2,Vinohrady,120 00 Praha 2,"Korunní 586/2, Vinohrady",CZ0112,641,6,Střední škola,044846738,550
600004813,"Obchodní akademie, ŠKOLA 2000, s.r.o.",Ječná 517/30,Nové Město,120 00 Praha 2,"Ječná 517/30, Nové Město",CZ0112,112,5,Střední škola,110001664,120
600004821,Gymnázium Duhovka s.r.o.,Ortenovo náměstí 1275/34,Holešovice,170 00 Praha 7,"Ortenovo náměstí 1275/34, Holešovice",CZ0117,112,5,Střední škola,013818082,580
600004830,"Českoslovanská akademie obchodní, střední odborná škola, Praha 2, Resslova 5",Resslova 1940/5,Nové Město,120 00 Praha 2,"Resslova 1940/5, Nové Město",CZ0112,331,7,Střední škola,000638455,540
600004848,"Střední škola ekonomická se sportovním zaměřením, s.r.o.",Vinohradská 1971/38,Vinohrady,120 00 Praha 2,"Vinohradská 1971/38, Vinohrady",CZ0112,112,5,Střední škola,045268983,200
600004856,"Vyšší odborná škola ekonomických studií, Gymnázium, Střední průmyslová škola potravinářských technologií a Střední odborná škola přírodovědná a veterinární, Praha 2, Podskalská 10",Podskalská 365/10,Nové Město,128 46 Praha 2,"Podskalská 365/10, Nové Město",CZ0112,331,7,Střední škola,000638366,1050
600004864,Střední škola obchodní,Belgická 250/29,Vinohrady,120 00 Praha 2,"Belgická 250/29, Vinohrady",CZ0112,331,7,Střední škola,000549185,1200
600004902,Střední odborná škola sociální svaté Zdislavy,Ječná 527/33,Nové Město,120 00 Praha 2,"Ječná 527/33, Nové Město",CZ0112,641,6,Střední škola,045768561,270
600004911,"Gymnázium Karla Sladkovského, Praha 3, Sladkovského náměstí 8",Sladkovského náměstí 900/8,Žižkov,130 00 Praha 3,"Sladkovského náměstí 900/8, Žižkov",CZ0113,331,7,Střední škola,000335410,600
600004929,"Obchodní akademie, Praha 3, Kubelíkova 37",Kubelíkova 1221/37,Žižkov,130 00 Praha 3,"Kubelíkova 1221/37, Žižkov",CZ0113,331,7,Střední škola,110002008,528
600004945,"Vyšší odborná škola uměleckoprůmyslová a Střední uměleckoprůmyslová škola, Praha 3, Žižkovo náměstí 1",Žižkovo náměstí 1300/1,Žižkov,130 00 Praha 3,"Žižkovo náměstí 1300/1, Žižkov",CZ0113,331,7,Střední škola,000312835,397
600004961,"Gymnázium Na Pražačce, Praha 3, Nad Ohradou 23",Nad Ohradou 2825/23,Žižkov,130 00 Praha 3,"Nad Ohradou 2825/23, Žižkov",CZ0113,331,7,Střední škola,000335398,600
600004970,"Vyšší odborná škola a Střední umělecká škola Václava Hollara, Praha 3, Hollarovo náměstí 2",Hollarovo náměstí 2275/2,Vinohrady,130 00 Praha 3,"Hollarovo náměstí 2275/2, Vinohrady",CZ0113,331,7,Střední škola,000638609,140
600005046,"Gymnázium, Praha 4, Písnická 760",Písnická 760/11,Kamýk,142 00 Praha 4,"Písnická 760/11, Kamýk",CZ0114,331,7,Střední škola,108029310,400
600005054,"Gymnázium Elišky Krásnohorské, Praha 4 - Michle, Ohradní 55",Ohradní 111/55,Michle,140 00 Praha 4,"Ohradní 111/55, Michle",CZ0114,331,7,Střední škola,000335533,510
600005071,"Střední průmyslová škola stavební Josefa Gočára, Praha 4, Družstevní ochoz 3",Družstevní ochoz 1659/3,Nusle,140 00 Praha 4,"Družstevní ochoz 1659/3, Nusle",CZ0114,331,7,Střední škola,000638358,720
600005089,"Gymnázium, Praha 4, Postupická 3150",Postupická 3150/4,Záběhlice,141 00 Praha 4,"Postupická 3150/4, Záběhlice",CZ0114,331,7,Střední škola,000335606,650
600005101,"Střední odborné učiliště kadeřnické, Praha 8, Karlínské náměstí 8/225",Karlínské náměstí 225/8,Karlín,186 00 Praha 8,"Karlínské náměstí 225/8, Karlín",CZ0118,331,7,Střední škola,000639028,570
600005143,"Gymnázium, Praha 4, Na Vítězné pláni 1160",Na Vítězné pláni 1160/1,Nusle,140 00 Praha 4,"Na Vítězné pláni 1160/1, Nusle",CZ0114,331,7,Střední škola,000335487,730
600005160,Gymnázium ALTIS s.r.o.,Dopplerova 351,Petrovice,109 00 Praha 10,"Dopplerova 351, Petrovice",CZ011A,112,5,Střední škola,044809875,550
600005178,"Gymnázium Evolution, s.r.o.",Sázavská 830/5,Vinohrady,120 00 Praha 2,"Sázavská 830/5, Vinohrady",CZ0112,112,5,Střední škola,048109355,650
600005186,"Akademie VŠEM - střední škola, s.r.o.",Nárožní 2600/9a,Stodůlky,158 00 Praha 5,"Nárožní 2600/9a, Stodůlky",CZ0115,112,5,Střední škola,108029409,135
600005208,"Gymnázium Opatov, Praha 4, Konstantinova 1500",Konstantinova 1500/50,Chodov,149 00 Praha 4,"Konstantinova 1500/50, Chodov",CZ0114,331,7,Střední škola,049366629,640
600005216,Střední škola gastronomická a hotelová s.r.o.,Vrbova 1233/34,Braník,147 00 Praha 4,"Vrbova 1233/34, Braník",CZ0114,112,5,Střední škola,108029417,2440
600005259,"Střední odborné učiliště, Praha 4, Ohradní 57",Ohradní 126/57,Michle,140 00 Praha 4,"Ohradní 126/57, Michle",CZ0114,331,7,Střední škola,014891531,450
600005267,"Klasické gymnázium Modřany a základní škola, s.r.o.",Rakovského 3136/1,Modřany,143 00 Praha 4,"Rakovského 3136/1, Modřany",CZ0114,112,5,Střední škola,110007778,600
600005275,Střední škola managementu a služeb s.r.o.,Ve Lhotce 814/2,Kamýk,142 00 Praha 4,"Ve Lhotce 814/2, Kamýk",CZ0114,112,5,Střední škola,110001648,1030
600005305,"EDUCAnet - gymnázium, střední odborná škola a základní škola Praha, s.r.o.",Roztylská 1860/1,Chodov,148 00 Praha 4,"Roztylská 1860/1, Chodov",CZ0114,112,5,Střední škola,110036514,440
600005321,Metropolitní odborná umělecká střední škola Praha 4 s.r.o.,Táborská 350/32,Nusle,140 00 Praha 4,"Táborská 350/32, Nusle",CZ0114,112,5,Střední škola,041193041,400
600005348,"Gymnázium, Praha 4, Budějovická 680",Budějovická 680/17,Michle,140 00 Praha 4,"Budějovická 680/17, Michle",CZ0114,331,7,Střední škola,000335479,700
600005356,"Střední škola Podnikatelská akademie, s.r.o.",K Milíčovu 674/2,Háje,149 00 Praha 4,"K Milíčovu 674/2, Háje",CZ0114,112,5,Střední škola,044796277,300
600005364,"MICHAEL - Střední škola a Vyšší odborná škola reklamní a umělecké tvorby, s.r.o.",Machkova 1646/1,Chodov,149 00 Praha 4,"Machkova 1646/1, Chodov",CZ0114,112,5,Střední škola,108029344,600
600005381,Akademie řemesel Praha - Střední škola technická,Zelený pruh 1294/52,Krč,147 08 Praha 4,"Zelený pruh 1294/52, Krč",CZ0114,331,7,Střední škola,007810041,1300
600005399,"Škola Kavčí hory - Mateřská škola, Základní škola a Střední odborná škola služeb, Praha 4, K Sídlišti 840",K Sídlišti 840/2,Podolí,140 00 Praha 4,"K Sídlišti 840/2, Podolí",CZ0114,331,2,Střední škola,048134023,295
600005402,"Škola mezinárodních a veřejných vztahů Praha, Střední odborná škola, Gymnázium, s.r.o.",Michelská 22/12,Michle,140 00 Praha 4,"Michelská 22/12, Michle",CZ0114,112,5,Střední škola,110001621,485
600005429,Evangelická akademie - Vyšší odborná škola sociální práce a střední odborná škola,Hrusická 2537/7,Záběhlice,141 00 Praha 4,"Hrusická 2537/7, Záběhlice",CZ0114,641,6,Střední škola,045247226,240
600005445,"Soukromé střední odborné učiliště ATHOZ, spol. s r.o.",Pelušková 1410,Kyje,198 00 Praha 9,"Pelušková 1410, Kyje",CZ0112,112,5,Střední škola,108029395,90
600005496,"Gymnázium, Praha 5, Na Zatlance 11",Na Zatlance 1330/11,Smíchov,150 00 Praha 5,"Na Zatlance 1330/11, Smíchov",CZ0115,331,7,Střední škola,061385271,520
600005500,"Gymnázium Oty Pavla, Praha 5, Loučanská 520",Loučanská 520/1,Radotín,153 00 Praha 5,"Loučanská 520/1, Radotín",CZ0115,331,7,Střední škola,061384992,390
600005518,Gymnázium Christiana Dopplera,Zborovská 621/45,Malá Strana,150 00 Praha 5,"Zborovská 621/45, Malá Strana",CZ0115,331,7,Střední škola,061385701,640
600005534,"Gymnázium Jaroslava Heyrovského, Praha 5, Mezi Školami 2475",Mezi Školami 2475/29,Stodůlky,158 00 Praha 5,"Mezi Školami 2475/29, Stodůlky",CZ0115,331,7,Střední škola,060446234,792
600005542,Smíchovská střední průmyslová škola a gymnázium,Preslova 72/25,Smíchov,150 00 Praha 5,"Preslova 72/25, Smíchov",CZ0115,331,7,Střední škola,061386855,680
600005551,Rakouské gymnázium v Praze o.p.s.,Na Cikorce 2166/2b,Modřany,143 00 Praha 4,"Na Cikorce 2166/2b, Modřany",CZ0114,141,5,Střední škola,041194462,300
600005569,Střední škola dostihového sportu a jezdectví,U Závodiště 325/1,Velká Chuchle,159 00 Praha 5,"U Závodiště 325/1, Velká Chuchle",CZ0115,331,7,Střední škola,108023079,300
600005585,"Střední odborné učiliště, Praha - Radotín",Pod Klapicí 11/15,Radotín,153 00 Praha 5,"Pod Klapicí 11/15, Radotín",CZ0115,331,7,Střední škola,108023087,290
600005593,"Mensa gymnázium, o.p.s.",Španielova 1111/19,Řepy,163 00 Praha 6,"Španielova 1111/19, Řepy",CZ0116,141,5,Střední škola,049232886,198
600005623,"Gymnázium, Praha 5, Nad Kavalírkou 1",Nad Kavalírkou 100/1,Košíře,150 00 Praha 5,"Nad Kavalírkou 100/1, Košíře",CZ0115,331,7,Střední škola,061385298,570
600005631,Hotelová škola a Gymnázium Radlická,Radlická 591/115,Jinonice,158 00 Praha 5,"Radlická 591/115, Jinonice",CZ0115,331,7,Střední škola,110011295,650
600005640,Střední škola a vyšší odborná škola umělecká a řemeslná,Nový Zlíchov 1063/1,Hlubočepy,150 00 Praha 5,"Nový Zlíchov 1063/1, Hlubočepy",CZ0115,331,7,Střední škola,014891263,600
600005658,"Střední průmyslová škola dopravní, a.s.",Plzeňská 298/217a,Motol,150 00 Praha 5,"Plzeňská 298/217a, Motol",CZ0115,121,5,Střední škola,110001885,1450
600005666,"Gymnázium, střední odborná škola a Pražská taneční konzervatoř, s.r.o.",Laudova 1024/10,Řepy,163 00 Praha 6,"Laudova 1024/10, Řepy",CZ0116,112,5,Střední škola,110007701,300
600005674,"Střední odborná škola, Praha 5, Drtinova 3/498",Drtinova 498/3,Smíchov,150 00 Praha 5,"Drtinova 498/3, Smíchov",CZ0115,331,7,Střední škola,045248001,500
600005682,"Gymnázium, Praha 6, Arabská 14",Arabská 682/14,Vokovice,160 00 Praha 6,"Arabská 682/14, Vokovice",CZ0116,331,7,Střední škola,061386022,670
600005691,"Gymnázium Jana Keplera, Praha 6, Parléřova 2",Parléřova 118/2,Hradčany,169 00 Praha 6,"Parléřova 118/2, Hradčany",CZ0116,331,7,Střední škola,061388246,600
600005721,Obchodní akademie a Gymnázium Bubeneč,Krupkovo náměstí 26/4,Bubeneč,160 00 Praha 6,"Krupkovo náměstí 26/4, Bubeneč",CZ0116,331,7,Střední škola,061384534,550
600005771,"Gymnázium, Praha 6, Nad Alejí 1952",Nad Alejí 1952/5,Břevnov,162 00 Praha 6,"Nad Alejí 1952/5, Břevnov",CZ0116,331,7,Střední škola,049625446,620
600005798,"Střední škola kosmetiky a hotelnictví BEAN, s.r.o.",Českobrodská 362/32a,Hrdlořezy,190 00 Praha 9,"Českobrodská 362/32a, Hrdlořezy",CZ0119,112,5,Střední škola,011217731,300
600005810,"Střední odborná škola civilního letectví, Praha - Ruzyně",K letišti 278/4a,Ruzyně,161 00 Praha 6,"K letišti 278/4a, Ruzyně",CZ0116,331,7,Střední škola,000639494,400
600005836,"Obchodní akademie Praha, s.r.o.",Vinořská 163/17,Satalice,190 15 Praha 9,"Vinořská 163/17, Satalice",CZ0119,112,5,Střední škola,060447109,276
600005844,"Vyšší odborná škola pedagogická a sociální, Střední odborná škola pedagogická a Gymnázium, Praha 6, Evropská 33",Evropská 330/33,Dejvice,160 00 Praha 6,"Evropská 330/33, Dejvice",CZ0116,331,7,Střední škola,061388068,690
600005861,"Vyšší odborná škola oděvního návrhářství a Střední průmyslová škola oděvní, Praha 7, Jablonského 3",Jablonského 333/3,Holešovice,170 00 Praha 7,"Jablonského 333/3, Holešovice",CZ0117,331,7,Střední škola,061385891,440
600005895,Trojské gymnázium s.r.o.,Trojská 211/110,Troja,171 00 Praha 7,"Trojská 211/110, Troja",CZ0117,112,5,Střední škola,110034741,280
600005933,"Gymnázium, Praha 8, U Libeňského zámku 1",U libeňského zámku 1/2,Libeň,180 00 Praha 8,"U libeňského zámku 1/2, Libeň",CZ0118,331,7,Střední škola,000336475,570
600005941,Obchodní akademie Hovorčovická,U vinohradského hřbitova 2471/3,Vinohrady,130 00 Praha 3,"U vinohradského hřbitova 2471/3, Vinohrady",CZ0113,331,7,Střední škola,000638501,560
600005950,"Gymnázium FOSTRA a střední hotelová škola, s.r.o.",Svídnická 506/1,Troja,181 00 Praha 8,"Svídnická 506/1, Troja",CZ0118,112,5,Střední škola,108000877,215
600005968,"Karlínské gymnázium, Praha 8, Pernerova 25",Pernerova 273/25,Karlín,186 00 Praha 8,"Pernerova 273/25, Karlín",CZ0118,331,7,Střední škola,000638218,610
600005976,Karlínská obchodní akademie,Kollárova 271/5,Karlín,186 00 Praha 8,"Kollárova 271/5, Karlín",CZ0118,331,7,Střední škola,110036204,510
600005984,"Gymnázium Přírodní škola, z.ú.",Letohradská 370/1,Holešovice,170 00 Praha 7,"Letohradská 370/1, Holešovice",CZ0117,161,5,Střední škola,108056911,100
600005992,"Gymnázium, Praha 8, Ústavní 400",Ústavní 400/12,Bohnice,181 00 Praha 8,"Ústavní 400/12, Bohnice",CZ0118,331,7,Střední škola,000340383,730
600006000,"Střední odborná škola sociální, o.p.s.",Křižíkova 345/4,Karlín,186 00 Praha 8,"Křižíkova 345/4, Karlín",CZ0118,141,5,Střední škola,000064556,90
600006018,"PORG - gymnázium a základní škola, o.p.s.",Lindnerova 517/3,Libeň,180 00 Praha 8,"Lindnerova 517/3, Libeň",CZ0118,141,5,Střední škola,000550591,1072
600006026,"Královská střední škola, s.r.o.",Svídnická 599/1a,Troja,181 00 Praha 8,"Svídnická 599/1a, Troja",CZ0118,112,5,Střední škola,016499671,500
600006034,Soukromá střední škola gastronomie s.r.o.,Svídnická 599/1a,Troja,181 00 Praha 8,"Svídnická 599/1a, Troja",CZ0118,112,5,Střední škola,102160261,500
600006042,"ART ECON - Střední škola a vyšší odborná škola Praha, s.r.o.",Nad Rokoskou 111/7,Libeň,182 00 Praha 8,"Nad Rokoskou 111/7, Libeň",CZ0118,112,5,Střední škola,045796955,468
600006051,"TRIVIS - Střední škola veřejnoprávní a Vyšší odborná škola prevence kriminality a krizového řízení Praha, s.r.o.",Hovorčovická 1281/11,Kobylisy,182 00 Praha 8,"Hovorčovická 1281/11, Kobylisy",CZ0118,112,5,Střední škola,049356062,900
600006077,Církevní střední škola Jana Boska,Vítkova 15/12,Karlín,186 00 Praha 8,"Vítkova 15/12, Karlín",CZ0118,641,6,Střední škola,110380223,90
600006107,Gymnázium J. Seiferta o.p.s.,Vysočanské náměstí 500,Vysočany,190 00 Praha 9,"Vysočanské náměstí 500, Vysočany",CZ0119,141,5,Střední škola,016190483,240
600006115,"Gymnázium, Praha 9, Českolipská 373",Českolipská 373/27,Střížkov,190 00 Praha 9,"Českolipská 373/27, Střížkov",CZ0119,331,7,Střední škola,108001342,720
600006123,Střední průmyslová škola zeměměřická a Geografické gymnázium Praha,Pod Táborem 300/7,Hrdlořezy,190 00 Praha 9,"Pod Táborem 300/7, Hrdlořezy",CZ0119,331,7,Střední škola,000638404,390
600006131,"Gymnázium Čakovice, Praha 9, nám. 25. března 100",náměstí 25. března 100/2,Čakovice,196 00 Praha 9,"náměstí 25. března 100/2, Čakovice",CZ0119,331,7,Střední škola,108001270,300
600006140,"The English College in Prague - Anglické gymnázium, o.p.s.",Sokolovská 139/320,Vysočany,190 00 Praha 9,"Sokolovská 139/320, Vysočany",CZ0119,141,5,Střední škola,108001369,440
600006158,"SOUKROMÁ STŘEDNÍ UMĚLECKÁ ŠKOLA DESIGNU, s.r.o.",Žalanského 68/54,Řepy,163 00 Praha 6,"Žalanského 68/54, Řepy",CZ0116,112,5,Střední škola,011233354,100
600006166,"Gymnázium, Praha 9, Chodovická 2250",Chodovická 2250/36,Horní Počernice,193 00 Praha 9,"Chodovická 2250/36, Horní Počernice",CZ0119,331,7,Střední škola,108001288,588
600006174,"Vyšší odborná škola informačních studií a Střední škola elektrotechniky, multimédií a informatiky",Novovysočanská 280/48,Vysočany,190 00 Praha 9,"Novovysočanská 280/48, Vysočany",CZ0119,331,7,Střední škola,014891409,600
600006239,Soukromá střední škola výpočetní techniky s.r.o.,Litvínovská 600/1,Prosek,190 00 Praha 9,"Litvínovská 600/1, Prosek",CZ0119,112,5,Střední škola,108001491,480
600006247,"Gymnázium, Praha 9, Litoměřická 726",Litoměřická 726/17,Prosek,190 00 Praha 9,"Litoměřická 726/17, Prosek",CZ0119,331,7,Střední škola,000638170,660
600006280,Střední odborná škola Jarov,Učňovská 100/1,Hrdlořezy,190 00 Praha 9,"Učňovská 100/1, Hrdlořezy",CZ0119,331,7,Střední škola,000300268,1700
600006298,"Střední škola hotelnictví a gastronomie SČMSD Praha, s.r.o.",Slavětínská 82,Klánovice,190 14 Praha 9,"Slavětínská 82, Klánovice",CZ0119,112,5,Střední škola,110380339,730
600006301,"Soukromá střední odborná škola START, s.r.o.",Dygrýnova 1006/21,Černý Most,198 00 Praha 9,"Dygrýnova 1006/21, Černý Most",CZ0119,112,5,Střední škola,108001547,180
600006310,Soukromá střední škola a základní škola (1. KŠPA) Praha s.r.o.,Chabařovická 1125/4,Kobylisy,182 00 Praha 8,"Chabařovická 1125/4, Kobylisy",CZ0118,112,5,Střední škola,110007786,620
600006328,"Soukromá střední odborná škola a Soukromé střední odborné učiliště BEAN, s.r.o.",Českobrodská 362/32a,Hrdlořezy,190 00 Praha 9,"Českobrodská 362/32a, Hrdlořezy",CZ0119,112,5,Střední škola,110007808,800
600006352,"Gymnázium, Praha 9, Špitálská 2",Špitálská 700/2,Vysočany,190 00 Praha 9,"Špitálská 700/2, Vysočany",CZ0119,331,7,Střední škola,000638188,420
600006379,Střední odborná škola uměleckořemeslná s.r.o.,Podkovářská 797/4,Vysočany,190 00 Praha 9,"Podkovářská 797/4, Vysočany",CZ0119,112,5,Střední škola,000222411,430
600006387,Střední škola podnikání a gastronomie,Za Černým mostem 362/3,Hloubětín,198 00 Praha 9,"Za Černým mostem 362/3, Hloubětín",CZ0119,331,7,Střední škola,000563722,1130
600006409,Euroškola Praha střední odborná škola s.r.o.,Trojská 211/110,Troja,171 00 Praha 7,"Trojská 211/110, Troja",CZ0117,112,5,Střední škola,044264445,105
