REDIZO;KAPACITA_CELKOVO;KRAJ
600004538;100;CZ010
600004627;40;CZ010
600013979;461;CZ062
690000014;28;CZ053
600004660;0;CZ010
600170179;204;CZ020
650068955;38;CZ020
600011631;90;CZ052
600004686;150;CZ010
600020291;60;CZ031
600012417;52;CZ053
600170837;228;CZ053
600017591;120;CZ080
600016447;120;CZ080
691009465;30;CZ061
600017567;180;CZ080
600010210;647;CZ042
600171019;450;CZ062
690000014;180;CZ053
600016366;30;CZ080
691003009;168;CZ053
600170438;595;CZ031
600012433;400;CZ053
600170021;180;CZ010
600017311;192;CZ080
600005836;67;CZ010
600009491;355;CZ032
600018199;198;CZ072
600008363;125;CZ031
600016170;150;CZ080
600007545;214;CZ020
600170462;412;CZ041
600005402;90;CZ010
600006654;101;CZ010
650008006;85;CZ072
600014096;210;CZ062
600017664;183;CZ080
600005381;717;CZ010
600019900;100;CZ062
600016749;180;CZ080
600012514;155;CZ053
600019349;203;CZ071
600017257;180;CZ080
651016029;188;CZ031
600005542;150;CZ010
600006573;120;CZ010
600008274;310;CZ031
600006841;205;CZ020
600009319;210;CZ041
600008592;464;CZ031
600170349;210;CZ031
600004970;34;CZ010
600171191;278;CZ080
600017907;375;CZ071
600012484;127;CZ053
600017753;105;CZ080
600014231;520;CZ062
600009084;234;CZ041
600171027;420;CZ062
600170080;390;CZ010
600171051;264;CZ072
600171531;126;CZ062
600005569;120;CZ010
600016145;204;CZ080
651023572;345;CZ031
600170292;527;CZ031
600008509;235;CZ061
600012808;410;CZ053
600007022;368;CZ020
600171311;346;CZ080
600008193;690;CZ031
600170993;264;CZ053
600171850;462;CZ062
600005364;176;CZ010
600018202;90;CZ072
600014908;229;CZ061
600014908;14;CZ061
600014908;92;CZ061
610100581;540;CZ032
600171361;255;CZ071
600006387;420;CZ010
600012352;390;CZ053
600010902;264;CZ042
600017974;60;CZ071
600016234;90;CZ080
691012342;55;CZ010
600013847;560;CZ062
600013031;240;CZ053
600017737;120;CZ080
600010805;107;CZ042
600170527;330;CZ041
600017311;192;CZ080
600008371;320;CZ031
600010856;295;CZ042
600006301;28;CZ010
600005062;20;CZ010
600073017;85;CZ041
600014665;230;CZ062
600170977;140;CZ053
651037026;96;CZ010
600015670;310;CZ062
600008941;333;CZ032
600006239;90;CZ010
600006433;210;CZ010
600009122;120;CZ041
600007685;150;CZ020
600016838;184;CZ080
600008703;90;CZ031
600170691;435;CZ042
600006123;90;CZ010
600171337;120;CZ071
600013383;160;CZ062
600018318;360;CZ071
691002932;286;CZ080
691015341;0;CZ010
600009301;84;CZ041
600004864;330;CZ010
600010759;400;CZ042
600005356;32;CZ010
600026957;375;CZ080
600015459;324;CZ072
600171388;507;CZ071
600009106;204;CZ041
600009815;90;CZ032
600016846;312;CZ080
600171370;359;CZ071
600013855;475;CZ062
651012988;278;CZ041
600012077;60;CZ052
600015971;550;CZ061
600005844;150;CZ010
600008550;60;CZ031
600170896;194;CZ051
691003807;482;CZ031
650076991;40;CZ080
651035759;210;CZ080
600170730;310;CZ061
691010366;62;CZ080
691010366;90;CZ080
651014271;68;CZ052
600009564;60;CZ032
600009611;64;CZ032
600017729;64;CZ080
600013715;60;CZ062
600016901;126;CZ080
600014061;30;CZ062
600007570;70;CZ020
600012301;60;CZ053
600009700;372;CZ032
600171400;230;CZ072
600013898;64;CZ062
650071409;120;CZ062
600016595;30;CZ080
600077594;30;CZ042
600013502;210;CZ062
600015726;60;CZ062
610250451;329;CZ061
600011534;252;CZ061
600017672;120;CZ080
600006778;90;CZ020
600005933;120;CZ010
600010015;140;CZ051
600012581;90;CZ052
600013201;282;CZ053
600018342;90;CZ071
600011020;80;CZ042
600009211;41;CZ041
600012841;50;CZ053
600014029;158;CZ062
600011372;118;CZ042
600016056;58;CZ080
600013961;72;CZ062
600170501;300;CZ032
600171833;250;CZ053
600170772;230;CZ053
600017231;96;CZ071
600170381;215;CZ031
600170195;322;CZ020
610450620;426;CZ020
600007511;134;CZ020
600170128;420;CZ020
600006859;382;CZ020
600007782;410;CZ020
600170586;570;CZ042
651015995;106;CZ010
600008851;90;CZ031
600008169;150;CZ031
600170276;275;CZ031
600015815;397;CZ062
600008011;31;CZ031
600016099;90;CZ080
600017079;165;CZ071
600011038;70;CZ042
600013936;300;CZ062
600171841;60;CZ062
600013804;150;CZ062
600018334;195;CZ071
600008185;180;CZ031
600014355;240;CZ072
610250574;660;CZ061
600016323;240;CZ080
600010040;120;CZ051
600170535;237;CZ032
600017818;120;CZ071
600170853;459;CZ053
600008681;558;CZ031
600005640;335;CZ010
600014011;160;CZ062
600006697;198;CZ020
600013197;285;CZ053
600013766;909;CZ062
600013278;306;CZ062
600016510;174;CZ080
600015408;358;CZ061
600013821;766;CZ062
600013103;30;CZ053
600171035;150;CZ062
691004048;60;CZ052
600170560;304;CZ042
600013171;150;CZ053
600016307;327;CZ080
600017168;105;CZ071
600170306;303;CZ031
600015793;466;CZ062
600015441;305;CZ061
600013162;258;CZ053
600171248;348;CZ080
600017133;285;CZ071
600015718;178;CZ062
600171205;286;CZ080
600170357;189;CZ031
600013146;120;CZ053
600009858;442;CZ032
600170373;205;CZ031
600019713;84;CZ051
600017834;180;CZ071
600013138;159;CZ053
600170918;240;CZ051
600014177;150;CZ062
600020070;182;CZ080
600012247;69;CZ052
600020339;80;CZ031
600019616;60;CZ031
600006174;204;CZ010
600020428;310;CZ042
600006140;44;CZ010
600020011;90;CZ080
650069021;414;CZ080
600020061;110;CZ080
600012573;90;CZ052
600016064;60;CZ080
691012458;180;CZ052
691013489;0;CZ010
600006930;350;CZ020
600001431;96;CZ042
600171795;30;CZ061
600024938;20;CZ062
600013235;90;CZ062
600015360;147;CZ061
600015491;60;CZ072
600013537;40;CZ062
600009785;94;CZ032
600009009;90;CZ041
600014053;60;CZ062
600013260;48;CZ062
600009297;90;CZ041
600008002;90;CZ031
600018351;80;CZ071
