ID,REDIZO,ROK,OBOROVA_SKUPINA,KRAJ,PREDMET,KONALI,NEUSPELI,USPELI,PRUMERNY_PERCENTIL,MEDIAN
6000014312017,600001431,2017,GY8,U,AJ,19,0,19,66.05052631578947,78.95
6000018732017,600001873,2017,GY8,A,AJ,19,0,19,79.3257894736842,92.64
6000045202017,600004520,2017,LYC,A,AJ,18,0,18,73.62833333333333,87.37
6000045202017,600004520,2017,SEK,A,AJ,26,0,26,71.67000000000002,84.22
6000045202017,600004520,2017,ST1,A,AJ,18,0,18,77.20500000000001,87.375
6000045382017,600004538,2017,SUM,A,AJ,47,0,47,61.16510638297873,84.22
6000045462017,600004546,2017,GY8,A,AJ,33,0,33,89.52393939393941,95.79
6000045542017,600004554,2017,LYC,A,AJ,0,0,0,–,–
6000045542017,600004554,2017,ST1,A,AJ,13,0,13,70.97692307692307,83.16
6000045542017,600004554,2017,SUM,A,AJ,49,2,47,62.11938775510204,84.22
6000045622017,600004562,2017,ST2,A,AJ,19,0,19,56.484736842105264,75.79
6000045622017,600004562,2017,SUM,A,AJ,30,0,30,72.44133333333332,88.43
6000045892017,600004589,2017,GY6,A,AJ,36,0,36,83.29055555555556,94.215
6000045972017,600004597,2017,GY8,A,AJ,35,0,35,86.82285714285716,94.74
6000046012017,600004601,2017,SUM,A,AJ,15,2,13,59.11933333333333,87.37
6000046192017,600004619,2017,ST1,A,AJ,16,0,16,61.51,78.95
6000046272017,600004627,2017,SUM,A,AJ,22,1,21,54.42500000000001,76.845
6000046352017,600004635,2017,GY4,A,AJ,33,0,33,82.27636363636363,91.58
6000046432017,600004643,2017,ST1,A,AJ,8,0,8,69.005,81.58500000000001
6000046432017,600004643,2017,ST2,A,AJ,87,1,86,66.38321839080463,83.16
6000046602017,600004660,2017,SUM,A,AJ,18,0,18,71.66722222222224,85.79499999999999
6000046782017,600004678,2017,ST1,A,AJ,69,2,67,66.41579710144929,86.32
6000046862017,600004686,2017,ST1,A,AJ,27,0,27,73.68481481481481,89.48
6000046942017,600004694,2017,GY4,A,AJ,12,0,12,75.24833333333333,87.9
6000046942017,600004694,2017,GY8,A,AJ,27,0,27,83.60962962962964,91.58
6000047082017,600004708,2017,GY4,A,AJ,50,0,50,85.215,95.79
6000047242017,600004724,2017,GY4,A,AJ,65,0,65,82.2198461538462,91.58
6000047412017,600004741,2017,SHP,A,AJ,108,4,104,53.65981481481482,74.74
6000047592017,600004759,2017,LYC,A,AJ,91,0,91,62.03538461538462,78.95
6000047592017,600004759,2017,SEK,A,AJ,25,1,24,63.638799999999996,83.16
6000047752017,600004775,2017,LYC,A,AJ,22,0,22,78.10590909090911,90.005
6000047752017,600004775,2017,SEK,A,AJ,52,1,51,61.97384615384615,81.58500000000001
6000047832017,600004783,2017,ST1,A,AJ,66,0,66,76.18712121212124,87.37
6000047912017,600004791,2017,GY8,A,AJ,34,0,34,92.07735294117647,95.79
6000048132017,600004813,2017,SEK,A,AJ,8,2,6,38.0375,53.165
6000048212017,600004821,2017,GY4,A,AJ,3,0,3,80.95333333333333,92.64
6000048212017,600004821,2017,GY8,A,AJ,9,0,9,81.5311111111111,90.53
6000048302017,600004830,2017,NOS,A,AJ,4,1,3,29.725000000000005,58.955
6000048302017,600004830,2017,SEK,A,AJ,82,0,82,56.02975609756098,77.375
6000048482017,600004848,2017,SHP,A,AJ,20,1,19,41.42100000000001,61.055
6000048562017,600004856,2017,LYC,A,AJ,15,0,15,70.11533333333333,92.64
6000048562017,600004856,2017,ST2,A,AJ,27,1,26,43.966666666666676,67.37
6000048562017,600004856,2017,SZE,A,AJ,32,0,32,62.066875,80.53
6000048642017,600004864,2017,NOS,A,AJ,32,11,21,32.751875,59.475
6000048642017,600004864,2017,UOS,A,AJ,18,2,16,71.47999999999999,90.005
6000048722017,600004872,2017,GY4,A,AJ,14,0,14,75.38642857142858,90.005
6000049022017,600004902,2017,SHU,A,AJ,22,2,20,54.43681818181819,78.95
6000049112017,600004911,2017,GY4,A,AJ,15,0,15,76.94799999999998,89.48
6000049112017,600004911,2017,GY8,A,AJ,26,0,26,89.73230769230769,96.85
6000049292017,600004929,2017,LYC,A,AJ,22,0,22,55.910000000000004,77.37
6000049292017,600004929,2017,SEK,A,AJ,21,1,20,58.2152380952381,80
6000049452017,600004945,2017,ST2,A,AJ,12,0,12,52.34916666666667,73.16
6000049452017,600004945,2017,SUM,A,AJ,59,3,56,50.67745762711864,73.69
6000049612017,600004961,2017,GY6,A,AJ,44,0,44,80.94045454545456,92.64
6000049702017,600004970,2017,SUM,A,AJ,33,1,32,66.28878787878789,88.43
6000050032017,600005003,2017,SHU,A,AJ,15,1,14,58.57533333333332,77.9
6000050462017,600005046,2017,GY4,A,AJ,19,0,19,72.42894736842103,88.43
6000050462017,600005046,2017,GY8,A,AJ,11,0,11,89.35,95.79
6000050542017,600005054,2017,GY4,A,AJ,29,0,29,78.60827586206896,89.48
6000050542017,600005054,2017,GY8,A,AJ,4,0,4,86.5625,93.69
6000050622017,600005062,2017,SUM,A,AJ,13,1,12,54.48461538461538,83.16
6000050712017,600005071,2017,ST1,A,AJ,37,0,37,75.7045945945946,89.48
6000050892017,600005089,2017,GY4,A,AJ,42,0,42,67.24476190476192,82.63499999999999
6000050892017,600005089,2017,GY6,A,AJ,40,0,40,79.45799999999998,92.64
6000051012017,600005101,2017,NOS,A,AJ,13,4,9,13.793076923076923,45.27
6000051432017,600005143,2017,GY4,A,AJ,40,0,40,87.98425,95.265
6000051432017,600005143,2017,GY6,A,AJ,42,0,42,85.64000000000003,94.74
6000051602017,600005160,2017,GY8,A,AJ,13,0,13,85.62692307692308,92.64
6000051782017,600005178,2017,GY4,A,AJ,23,1,22,75.85391304347826,88.43
6000051782017,600005178,2017,GY6,A,AJ,33,0,33,83.36848484848485,92.64
6000051862017,600005186,2017,SEK,A,AJ,15,0,15,74.67533333333333,89.48
6000052082017,600005208,2017,GY4,A,AJ,18,0,18,74.62111111111112,90.005
6000052082017,600005208,2017,GY8,A,AJ,36,0,36,90.98333333333335,96.32
6000052162017,600005216,2017,NOS,A,AJ,64,9,55,38.1378125,61.055
6000052162017,600005216,2017,SHP,A,AJ,69,4,65,50.72623188405797,77.9
6000052162017,600005216,2017,UOS,A,AJ,15,0,15,47.55933333333333,70.53
6000052592017,600005259,2017,NTE,A,AJ,5,1,4,19.892,46.32
6000052592017,600005259,2017,UTE,A,AJ,3,0,3,55.86333333333334,69.48
6000052672017,600005267,2017,GY4,A,AJ,7,0,7,70.95142857142858,89.48
6000052672017,600005267,2017,GY6,A,AJ,3,0,3,89.42,94.74
6000052672017,600005267,2017,GY8,A,AJ,18,1,17,82.32833333333333,94.74
6000052752017,600005275,2017,NOS,A,AJ,1,0,1,43.53,61.06
6000052752017,600005275,2017,SHP,A,AJ,6,0,6,59.254999999999995,80.005
6000052752017,600005275,2017,SUM,A,AJ,1,0,1,12.36,46.32
6000052752017,600005275,2017,UOS,A,AJ,9,0,9,52.07222222222222,69.48
6000053052017,600005305,2017,GY4,A,AJ,18,0,18,86.32944444444443,92.64
6000053052017,600005305,2017,ST1,A,AJ,5,0,5,62.506,75.79
6000053212017,600005321,2017,NOS,A,AJ,16,2,14,36.513124999999995,57.900000000000006
6000053212017,600005321,2017,UOS,A,AJ,2,1,1,8.36,40
6000053482017,600005348,2017,GY4,A,AJ,10,0,10,76.16499999999999,87.375
6000053482017,600005348,2017,GY6,A,AJ,2,0,2,97.67500000000001,98.95
6000053482017,600005348,2017,GY8,A,AJ,5,0,5,96.356,97.9
6000053562017,600005356,2017,SHP,A,AJ,16,0,16,62.2125,80.53
6000053642017,600005364,2017,SHP,A,AJ,15,2,13,61.86642857142855,89.48
6000053642017,600005364,2017,SUM,A,AJ,55,4,51,52.394181818181806,74.74
6000053812017,600005381,2017,NTE,A,AJ,20,0,20,45.5315,71.58500000000001
6000053812017,600005381,2017,UTE,A,AJ,10,0,10,66.136,86.325
6000053992017,600005399,2017,SHU,A,AJ,54,2,52,46.822777777777794,68.95500000000001
6000054022017,600005402,2017,SHU,A,AJ,17,1,16,71.09352941176469,88.43
6000054112017,600005411,2017,NOS,A,AJ,8,0,8,79.10625,87.375
6000054292017,600005429,2017,LYC,A,AJ,12,1,11,58.291666666666664,80.53
6000054292017,600005429,2017,SHU,A,AJ,14,1,13,29.503571428571426,56.32
6000054962017,600005496,2017,GY4,A,AJ,75,0,75,83.63933333333335,92.64
6000055002017,600005500,2017,GY4,A,AJ,19,0,19,82.17105263157893,92.64
6000055002017,600005500,2017,GY6,A,AJ,16,0,16,92.07375,96.85
6000055182017,600005518,2017,GY4,A,AJ,0,0,0,–,–
6000055182017,600005518,2017,GY8,A,AJ,19,0,19,83.30894736842104,92.64
6000055342017,600005534,2017,GY8,A,AJ,28,0,28,92.1232142857143,96.85
6000055422017,600005542,2017,LYC,A,AJ,8,0,8,79.54750000000001,90.53
6000055422017,600005542,2017,ST1,A,AJ,65,0,65,73.86876923076926,87.37
6000055512017,600005551,2017,GY6,A,AJ,0,0,0,–,–
6000055692017,600005569,2017,NOS,A,AJ,5,1,4,37.284,73.69
6000055692017,600005569,2017,SZE,A,AJ,8,0,8,44.118750000000006,72.11
6000055932017,600005593,2017,GY8,A,AJ,9,0,9,81.6411111111111,93.69
6000056232017,600005623,2017,GY8,A,AJ,10,0,10,80.53700000000002,90.005
6000056312017,600005631,2017,SHP,A,AJ,80,2,78,57.93750000000001,79.475
6000056402017,600005640,2017,NOS,A,AJ,13,1,12,38.62461538461539,58.95
6000056402017,600005640,2017,NTE,A,AJ,1,0,1,9.59,46.32
6000056402017,600005640,2017,ST2,A,AJ,0,0,0,–,–
6000056402017,600005640,2017,UOS,A,AJ,7,0,7,64.04857142857144,77.9
6000056582017,600005658,2017,NOS,A,AJ,35,12,23,28.56485714285714,47.37
6000056582017,600005658,2017,NTE,A,AJ,0,0,0,–,–
6000056582017,600005658,2017,ST1,A,AJ,30,2,28,42.54166666666667,64.215
6000056582017,600005658,2017,ST2,A,AJ,13,2,11,34.933076923076925,64.22
6000056582017,600005658,2017,UOS,A,AJ,5,4,1,20.558,41.05
6000056582017,600005658,2017,UTE,A,AJ,28,10,18,24.20107142857143,52.64
6000056662017,600005666,2017,SEK,A,AJ,4,0,4,57.53,82.11
6000056662017,600005666,2017,SHP,A,AJ,4,0,4,66.4025,76.845
6000056662017,600005666,2017,SUM,A,AJ,8,1,7,61.83625,87.37
6000056662017,600005666,2017,UOS,A,AJ,0,0,0,–,–
6000056742017,600005674,2017,SHU,A,AJ,79,0,79,59.32177215189874,77.9
6000056822017,600005682,2017,GY4,A,AJ,73,0,73,80.20342465753424,92.64
6000056912017,600005691,2017,GY4,A,AJ,14,0,14,85.175,92.63499999999999
6000056912017,600005691,2017,GY8,A,AJ,3,0,3,98.78,100
6000057212017,600005721,2017,LYC,A,AJ,34,0,34,78.14970588235295,89.48
6000057212017,600005721,2017,SEK,A,AJ,19,0,19,65.44,80
6000057712017,600005771,2017,GY4,A,AJ,0,0,0,–,–
6000057712017,600005771,2017,GY8,A,AJ,1,0,1,54.92,82.11
6000057802017,600005780,2017,SUM,A,AJ,6,0,6,69.75333333333333,87.37
6000057982017,600005798,2017,NOS,A,AJ,1,0,1,23.25,56.85
6000057982017,600005798,2017,UOS,A,AJ,1,1,0,9.99,42.1
6000058102017,600005810,2017,SHP,A,AJ,66,0,66,68.9398484848485,84.22
6000058102017,600005810,2017,UTE,A,AJ,18,0,18,79.78833333333333,90.53
6000058362017,600005836,2017,SEK,A,AJ,48,1,47,66.50479166666665,83.69
6000058442017,600005844,2017,GY4,A,AJ,25,0,25,70.804,88.43
6000058442017,600005844,2017,LYC,A,AJ,29,0,29,69.47103448275864,84.22
6000058442017,600005844,2017,SHU,A,AJ,70,8,62,43.4227142857143,65.27
6000058612017,600005861,2017,ST2,A,AJ,15,5,10,34.35666666666666,54.74
6000058612017,600005861,2017,SUM,A,AJ,35,1,34,50.70085714285713,77.9
6000058952017,600005895,2017,GY8,A,AJ,15,0,15,84.96,93.69
6000059332017,600005933,2017,GY4,A,AJ,45,0,45,74.14577777777775,87.37
6000059412017,600005941,2017,SEK,A,AJ,23,1,22,48.18782608695653,70.53
6000059412017,600005941,2017,SHP,A,AJ,66,0,66,61.93787878787882,80
6000059502017,600005950,2017,SHP,A,AJ,16,0,16,58.233125,78.95
6000059682017,600005968,2017,GY4,A,AJ,93,0,93,70.10387096774198,87.37
6000059762017,600005976,2017,SEK,A,AJ,71,1,70,59.33718309859154,78.95
6000059842017,600005984,2017,GY8,A,AJ,12,0,12,81.85833333333332,93.69
6000059922017,600005992,2017,GY6,A,AJ,0,0,0,–,–
6000059922017,600005992,2017,GY8,A,AJ,17,0,17,89.25117647058825,95.79
6000060002017,600006000,2017,NOS,A,AJ,5,0,5,41.724000000000004,65.27
6000060002017,600006000,2017,SHU,A,AJ,8,3,5,34.9825,64.74
6000060182017,600006018,2017,GY8,A,AJ,25,0,25,93.62720000000002,96.85
6000060262017,600006026,2017,NOS,A,AJ,10,1,9,46.44800000000001,70.53
6000060262017,600006026,2017,SEK,A,AJ,0,0,0,–,–
6000060262017,600006026,2017,SHU,A,AJ,13,3,10,44.594166666666666,66.85
6000060342017,600006034,2017,NOS,A,AJ,22,8,14,19.718636363636364,50.004999999999995
6000060342017,600006034,2017,UOS,A,AJ,7,2,5,30.57142857142857,52.64
6000060422017,600006042,2017,SEK,A,AJ,7,0,7,72.05,86.32
6000060512017,600006051,2017,NOS,A,AJ,9,0,9,39.74333333333333,64.22
6000060512017,600006051,2017,SHU,A,AJ,84,1,83,64.81833333333333,81.58500000000001
6000061072017,600006107,2017,GY8,A,AJ,19,0,19,91.86052631578947,95.79
6000061152017,600006115,2017,GY4,A,AJ,16,0,16,90.34375,95.79
6000061152017,600006115,2017,GY8,A,AJ,33,0,33,91.2530303030303,95.79
6000061232017,600006123,2017,ST2,A,AJ,5,0,5,59.638,76.85
6000061312017,600006131,2017,GY6,A,AJ,32,0,32,87.71156249999999,95.265
6000061402017,600006140,2017,GY6,A,AJ,0,0,0,–,–
6000061582017,600006158,2017,SUM,A,AJ,7,2,5,29.355714285714285,53.69
6000061662017,600006166,2017,GY8,A,AJ,18,0,18,87.60666666666667,94.74
6000061742017,600006174,2017,ST1,A,AJ,25,0,25,73.24759999999999,87.37
6000061742017,600006174,2017,UTE,A,AJ,11,0,11,67.16363636363637,90.53
6000062392017,600006239,2017,ST1,A,AJ,39,0,39,79.19615384615383,90.53
6000062472017,600006247,2017,GY4,A,AJ,0,0,0,–,–
6000062472017,600006247,2017,GY8,A,AJ,0,0,0,–,–
6000062802017,600006280,2017,NOS,A,AJ,18,2,16,50.66166666666666,73.69
6000062802017,600006280,2017,NTE,A,AJ,7,0,7,25.19857142857143,53.69
6000062802017,600006280,2017,SHP,A,AJ,19,0,19,62.85052631578948,81.06
6000062802017,600006280,2017,ST1,A,AJ,4,1,3,13.3575,49.474999999999994
6000062802017,600006280,2017,ST2,A,AJ,0,0,0,–,–
6000062802017,600006280,2017,SZE,A,AJ,12,3,9,33.2525,61.585
6000062982017,600006298,2017,NOS,A,AJ,1,0,1,71.4,83.16
6000062982017,600006298,2017,SHP,A,AJ,24,0,24,55.647083333333335,78.42500000000001
