REDIZO,ROK,ID_OBOR,ID_KRAJ,NAZEV_SKOLY,PREDMET,KONALI,PRUMERNY_PERCENTIL,SMERODATNA_ODCHYLKA
600001431,2017,GY8,CZ042,"Biskupské gymnázium, ZŠ a MŠ Bohosudov",CJ,37,22.9,25
600001873,2017,GY8,CZ010,"Gymnázium a Hudební škola hl.m.Prahy,ZUŠ",CJ,71,68.1,24.3
600004546,2017,GY8,CZ010,Gymnázium J.G.Jarkovského,CJ,258,58.5,29.1
600004597,2017,GY8,CZ010,Malostranské gymnázium,CJ,484,60.7,28.5
600004694,2017,GY8,CZ010,Gymnázium prof. Jana Patočky,CJ,306,60.6,28
600004791,2017,GY8,CZ010,Arcibiskupské gymnázium,CJ,206,66.4,27.2
600004821,2017,GY8,CZ010,Gymnázium Duhovka s.r.o.,CJ,66,50.7,28.2
600004911,2017,GY8,CZ010,Gymnázium Karla Sladkovského,CJ,134,50.3,28.4
600005046,2017,GY8,CZ010,Gymnázium,CJ,222,57.8,28.4
600005054,2017,GY8,CZ010,Gymnázium Elišky Krásnohorské,CJ,268,58.3,27.1
600005160,2017,GY8,CZ010,Gymnázium ALTIS s.r.o.,CJ,49,67.5,28.7
600005178,2017,GY8,CZ010,"Gymnázium Evolution, s.r.o.",CJ,126,53.4,31
600005208,2017,GY8,CZ010,Gymnázium Opatov,CJ,442,57.9,27
600005267,2017,GY8,CZ010,Klasické gymnázium Modřany a ZŠ,CJ,37,77.6,25.4
600005348,2017,GY8,CZ010,Gymnázium,CJ,506,59,28
600005518,2017,GY8,CZ010,Gymnázium Christiana Dopplera,CJ,245,60.3,26.6
600005534,2017,GY8,CZ010,Gymnázium Jaroslava Heyrovského,CJ,347,57.8,27.4
600005593,2017,GY8,CZ010,"Mensa gymnázium, o.p.s.",CJ,63,61.8,29
600005623,2017,GY8,CZ010,Gymnázium,CJ,362,57.7,27
600005691,2017,GY8,CZ010,Gymnázium Jana Keplera,CJ,227,72.4,25.3
600005771,2017,GY8,CZ010,Gymnázium,CJ,457,68,26.6
600005895,2017,GY8,CZ010,Trojské gymnázium s.r.o.,CJ,49,44.7,27.9
600005984,2017,GY8,CZ010,"Gymnázium Přírodní škola, o.p.s.",CJ,130,47.5,28.9
600005992,2017,GY8,CZ010,Gymnázium,CJ,295,63,27.6
600006018,2017,GY8,CZ010,"PORG - gymnázium a základní škola,o.p.s.",CJ,266,73.4,24.3
600006107,2017,GY8,CZ010,Gymnázium J. Seiferta o.p.s.,CJ,83,66.2,26.4
600006115,2017,GY8,CZ010,Gymnázium,CJ,376,60.1,27.5
600006166,2017,GY8,CZ010,Gymnázium,CJ,269,59.5,25.8
600006247,2017,GY8,CZ010,Gymnázium,CJ,339,57.5,26.8
600006352,2017,GY8,CZ010,Gymnázium,CJ,228,66.5,27.3
600006441,2017,GY8,CZ010,Soukromé gymnázium ARCUS s.r.o.,CJ,100,60.3,25.9
600006476,2017,GY8,CZ010,Křesťanské gymnázium,CJ,206,56.9,26.1
600006549,2017,GY8,CZ010,"Pražské humanitní gymnázium, ŠPO",CJ,31,52.3,24.7
600006603,2017,GY8,CZ010,Gymnázium,CJ,341,56,27.9
600006646,2017,GY8,CZ010,Gymnázium,CJ,285,56,27.2
600006671,2017,GY8,CZ020,Gymnázium,CJ,192,51.8,28.6
600006751,2017,GY8,CZ020,Gymnázium,CJ,83,48.2,28.8
600006808,2017,GY8,CZ020,Gymnázium J. Barranda,CJ,213,52.7,28.1
600006816,2017,GY8,CZ020,Gymnázium Václava Hraběte,CJ,165,48.4,28
600006913,2017,GY8,CZ020,Gymnázium Václava Beneše Třebízského,CJ,91,47.1,26
600006972,2017,GY8,CZ020,Gymnázium,CJ,194,53.9,27.3
600007081,2017,GY8,CZ020,Gymnázium,CJ,97,50.1,27.8
600007120,2017,GY8,CZ020,Gymnázium,CJ,115,54.5,26.9
600007219,2017,GY8,CZ020,Gymnázium Jiřího Ortena,CJ,107,45.6,27.5
600007243,2017,GY8,CZ020,Gymnázium a SOŠ pedagogická,CJ,34,49.7,25.2
600007308,2017,GY8,CZ020,Gymnázium Františka Palackého,CJ,158,49.5,28
600007316,2017,GY8,CZ020,Gymnázium Jana Palacha,CJ,90,56.6,27.6
600007332,2017,GY8,CZ020,Dvořákovo gymnázium a SOŠ ekonomická,CJ,111,50.4,29.7
600007413,2017,GY8,CZ020,Gymnázium,CJ,202,45.3,27.1
600007421,2017,GY8,CZ020,Gymnázium,CJ,65,50.6,27.9
600007502,2017,GY8,CZ020,Gymnázium Dr. Josefa Pekaře,CJ,186,46.4,27.8
600007553,2017,GY8,CZ020,Gymnázium Jiřího z Poděbrad,CJ,149,48.7,28.8
600007570,2017,GY8,CZ020,EKO Gymnázium a SOŠ Multimediál. studií,CJ,28,43,28.8
600007634,2017,GY8,CZ020,Gymnázium Bohumila Hrabala,CJ,199,50.7,28.6
600007693,2017,GY8,CZ020,Gymnázium,CJ,93,59,27
600007766,2017,GY8,CZ020,Gymnázium,CJ,207,58.6,27.3
600007774,2017,GY8,CZ020,Gymnázium J.S.Machara,CJ,138,62,28.5
600007812,2017,GY8,CZ020,Gymnázium Karla Čapka,CJ,117,53.2,28
600007847,2017,GY8,CZ020,Gymnázium,CJ,141,49.2,27.1
600007855,2017,GY8,CZ020,Gymnázium a SOŠ ekonomická,CJ,52,51.7,27
600007952,2017,GY8,CZ020,Gymnázium Zikmunda Wintra,CJ,60,49.3,32.6
600007995,2017,GY8,CZ031,Gymnázium J. V. Jirsíka,CJ,185,58.7,27.6
600008002,2017,GY8,CZ031,Gymnázium,CJ,201,62.7,26
600008029,2017,GY8,CZ031,Gymnázium,CJ,36,40.5,27.4
600008037,2017,GY8,CZ031,Gymnázium,CJ,44,43.9,28.4
600008088,2017,GY8,CZ031,Biskup. gymn. J.N.Neumanna a Církevní ZŠ,CJ,96,56.6,27.2
600008096,2017,GY8,CZ031,Česko-anglické gymnázium s.r.o.,CJ,49,50.2,30.3
600008100,2017,GY8,CZ031,České reálné gymnázium s.r.o.,CJ,51,49.7,26.1
600008151,2017,GY8,CZ031,Gymnázium,CJ,213,57.6,27.9
600008231,2017,GY8,CZ031,Gymnázium,CJ,53,46.8,26.5
600008282,2017,GY8,CZ031,Gymnázium Vítězslava Nováka,CJ,67,52.1,30.8
600008291,2017,GY8,CZ031,Gymnázium,CJ,78,51.2,28.4
600008347,2017,GY8,CZ031,Gymnázium,CJ,42,43.3,25.7
600008410,2017,GY8,CZ061,Gymnázium dr. A. Hrdličky,CJ,57,49.1,24.8
600008436,2017,GY8,CZ061,Gymnázium a Obchodní akademie,CJ,56,48.4,25.1
600008541,2017,GY8,CZ031,Gymnázium,CJ,100,42.6,27.7
600008649,2017,GY8,CZ031,Gymnázium,CJ,42,46.4,26.3
600008690,2017,GY8,CZ031,Gymnázium a SOŠ ekonomická,CJ,20,48.8,30.7
600008789,2017,GY8,CZ031,Gymnázium,CJ,57,50.1,30.9
600008801,2017,GY8,CZ031,Gymnázium Pierra de Coubertina,CJ,88,54.7,29
600008835,2017,GY8,CZ031,"Táborské soukromé gymnázium a ZŠ, s.r.o.",CJ,32,53.7,31.6
600008908,2017,GY8,CZ032,Gymnázium J.Š.Baara,CJ,62,51.2,31.3
600008975,2017,GY8,CZ041,"Gymnázium Aš, příspěvková organizace",CJ,73,31.4,24
600008991,2017,GY8,CZ041,Gymnázium a obchodní akademie Mar. Lázně,CJ,68,43.9,29
600009009,2017,GY8,CZ041,Gymnázium Cheb,CJ,163,41.7,26.3
600009076,2017,GY8,CZ041,"Svob.cheb.škola, ZŠ a gymnázium s.r.o.",CJ,53,45.4,26.5
600009262,2017,GY8,CZ041,První české gymnázium v Karlových Varech,CJ,141,52.7,26.9
600009297,2017,GY8,CZ041,Gymnázium Ostrov,CJ,165,48.7,27.5
600009327,2017,GY8,CZ032,Gymnázium Jaroslava Vrchlického,CJ,70,50.3,27.7
600009360,2017,GY8,CZ032,Gymnázium,CJ,45,42.9,25.6
600009459,2017,GY8,CZ032,Sportovní gymnázium Plzeň,CJ,93,42,27.9
600009530,2017,GY8,CZ032,Masarykovo gymnázium,CJ,228,57.1,29.2
600009548,2017,GY8,CZ032,Gymnázium Luďka Pika,CJ,136,57,28
600009556,2017,GY8,CZ032,Gymnázium,CJ,218,55.4,28.6
600009611,2017,GY8,CZ032,Církevní gymnázium,CJ,264,60.4,27
600009637,2017,GY8,CZ032,"Gymnázium Františka Křižíka a ZŠ, s.r.o.",CJ,56,48.5,28.8
600009751,2017,GY8,CZ032,Gymnázium,CJ,52,54.3,30.2
600009793,2017,GY8,CZ032,"Gymnázium a Střední odborná škola, Plasy",CJ,40,42.6,26.7
600009831,2017,GY8,CZ032,Gymnázium a SOŠ,CJ,62,46.2,24.4
600009882,2017,GY8,CZ041,Gymnázium Sokolov a Krajské vzděl.centr.,CJ,88,37.8,23.6
600009891,2017,GY8,CZ041,"Gymnázium a střední odborná škola Chodov, příspěvková organizace",CJ,36,53.4,25.1
600009947,2017,GY8,CZ032,Gymnázium,CJ,91,41.1,25.1
600009998,2017,GY8,CZ051,"Gymnázium, příspěvková organizace",CJ,71,46.7,28.2
600010007,2017,GY8,CZ051,"Gymnázium, příspěvková organizace",CJ,38,34.8,25.1
600010163,2017,GY8,CZ042,Gymnázium Varnsdorf,CJ,55,36.5,23.3
600010198,2017,GY8,CZ042,"Gymnázium Děčín, příspěvková organizace",CJ,63,41.8,28.3
600010279,2017,GY8,CZ042,Gymnázium,CJ,64,31.7,22.9
600010295,2017,GY8,CZ042,Gymnázium,CJ,38,37.8,29.7
600010325,2017,GY8,CZ042,"Gymn.a SOŠ, příspěvková organizace",CJ,26,27,19.7
600010414,2017,GY8,CZ051,"Gymnázium a OA, příspěvková organizace",CJ,50,48.4,26.3
600010511,2017,GY8,CZ051,"Gymnázium, příspěvková organizace",CJ,30,33.1,24
600010538,2017,GY8,CZ051,"Podještědské gymnázium, s.r.o.",CJ,29,52.8,30.9
600010554,2017,GY8,CZ051,"Gymn.F.X.Šaldy, příspěvková organizace",CJ,134,52.8,27.4
600010589,2017,GY8,CZ051,"G a SOŠ pedag.,příspěvková organizace",CJ,150,53.1,26.5
600010830,2017,GY8,CZ042,Gymnázium Josefa Jungmanna,CJ,116,45.4,27.2
600010848,2017,GY8,CZ042,Gymnázium,CJ,107,46.3,28.1
600010911,2017,GY8,CZ042,Gymnázium,CJ,69,47.1,26.6
600010929,2017,GY8,CZ042,"Gymn.V.Hlavatého, příspěvková organizace",CJ,57,35.4,25.3
600010953,2017,GY8,CZ042,Gymnázium,CJ,39,42.3,26.7
600011003,2017,GY8,CZ042,Gymnázium a Střední odborná škola,CJ,33,30.1,27.3
600011054,2017,GY8,CZ042,Podkrušnohorské gymnázium,CJ,131,32.9,25.3
600011062,2017,GY8,CZ042,Gymnázium T. G. Masaryka,CJ,50,30.8,27.7
600011216,2017,GY8,CZ042,"Gymnázium, příspěvková organizace",CJ,95,34.9,27.7
600011232,2017,GY8,CZ042,GYMNÁZIUM J.A.Komenského s.r.o.,CJ,10,28.4,23.2
600011267,2017,GY8,CZ042,Gymnázium a Střední průmyslová škola,CJ,25,27.7,25.1
600011321,2017,GY8,CZ042,Gymnázium,CJ,164,49.7,29.8
600011453,2017,GY8,CZ042,Gymnázium a SOŠ dr. Václava Šmejkala,CJ,145,50.2,29.8
600011500,2017,GY8,CZ061,Gymnázium Havlíčkův Brod,CJ,68,45.9,26
600011526,2017,GY8,CZ061,Gymnázium Chotěboř,CJ,59,43.9,23.9
600011534,2017,GY8,CZ061,"Gymnázium, SOŠ a VOŠ",CJ,43,26.9,24.7
600011852,2017,GY8,CZ053,Gymnázium K. V. Raise,CJ,38,49,25.7
600011887,2017,GY8,CZ053,Gymnázium Josefa Ressela,CJ,94,54.5,26.6
600012026,2017,GY8,CZ052,Gymnázium a SOŠ pedagogická,CJ,34,49.6,27.5
600012085,2017,GY8,CZ052,"Gymnázium, SOŠ, SOU a VOŠ",CJ,48,37.7,28.7
600012107,2017,GY8,CZ052,Gymnázium,CJ,68,42.3,26.3
600012115,2017,GY8,CZ052,Jiráskovo gymnázium,CJ,143,42,26.9
600012123,2017,GY8,CZ052,Gymnázium Jaroslava Žáka,CJ,98,47,27.8
600012301,2017,GY8,CZ053,Gymnázium Dr. Emila Holuba,CJ,39,48.9,27.2
600012310,2017,GY8,CZ053,Gymnázium,CJ,212,52.7,28.1
600012549,2017,GY8,CZ052,Gymnázium,CJ,100,46.5,25.9
600012557,2017,GY8,CZ052,Gymnázium Fr. M. Pelcla,CJ,77,44.6,26.1
600012638,2017,GY8,CZ051,"Gymnázium, příspěvková organizace",CJ,74,58,27.9
600012654,2017,GY8,CZ051,"Gymn.I.Olbrachta, příspěvková organizace",CJ,46,52.1,28.3
600012701,2017,GY8,CZ053,Gymnázium Aloise Jiráska,CJ,40,49.9,28.9
600012760,2017,GY8,CZ053,Gymnázium,CJ,38,24.8,20
600012786,2017,GY8,CZ053,Gymnázium a JŠ s právem SJZ Svitavy,CJ,29,42.8,28.6
600012859,2017,GY8,CZ053,Gymnázium,CJ,47,47.6,25.3
600012875,2017,GY8,CZ052,Gymnázium,CJ,123,39.6,26.3
600012891,2017,GY8,CZ052,Gymnázium,CJ,59,42.6,28.4
600013014,2017,GY8,CZ052,Gymnázium a Střední odborná škola,CJ,38,34.5,29.2
600013022,2017,GY8,CZ053,Gymnázium,CJ,75,52.6,27.1
600013057,2017,GY8,CZ053,Gymnázium,CJ,35,43.5,23.1
600013065,2017,GY8,CZ053,Gymnázium,CJ,77,55.3,30
600013073,2017,GY8,CZ053,Gymnázium,CJ,47,49.7,30.1
600013081,2017,GY8,CZ053,Gymnázium,CJ,54,46.2,24.4
600013120,2017,GY8,CZ053,Letohradské soukromé gymnázium o.p.s.,CJ,52,51,28.6
600013235,2017,GY8,CZ062,Gymnázium Blansko,CJ,115,57.7,27.9
600013294,2017,GY8,CZ062,Gymnázium,CJ,91,55.4,27.9
600013405,2017,GY8,CZ062,Biskupské gymnázium a mateřská škola,CJ,298,60.7,27.1
600013413,2017,GY8,CZ062,Gymnázium Brno-Řečkovice,CJ,348,61.9,27.3
600013481,2017,GY8,CZ062,Gymnázium,CJ,450,61.6,28
600013626,2017,GY8,CZ062,Gymnázium Matyáše Lercha,CJ,405,61.7,28.7
600013651,2017,GY8,CZ062,"Gymnázium P.Křížk. s uměl.profil.,s.r.o.",CJ,37,35.3,28.5
600013677,2017,GY8,CZ062,Moravské gymnázium Brno s.r.o.,CJ,28,48.9,32.9
600013740,2017,GY8,CZ062,Cyrilomet.gymnázium a SOŠ pedagog. Brno,CJ,164,61.4,26.9
600013758,2017,GY8,CZ062,EKO GYMNÁZIUM o.p.s.,CJ,57,45.1,26.8
600013863,2017,GY8,CZ062,Klasické a španělské gymnázium,CJ,221,56.8,27.7
600013898,2017,GY8,CZ062,"I. Něm. zem. gymnasium, ZŠ a MŠ, o.p.s.",CJ,55,38.7,26.6
600013961,2017,GY8,CZ062,Gymnázium J.G.Mendela a jeho zař. a ZUŠ,CJ,64,44.2,27.1
600014053,2017,GY8,CZ062,Gymnázium Jana Blahoslava,CJ,59,46.5,30.3
600014061,2017,GY8,CZ062,Gymnázium a ZUŠ,CJ,149,54.1,29.1
600014070,2017,GY8,CZ062,Gymnázium,CJ,125,54.3,27.8
600014100,2017,GY8,CZ062,Gymnázium,CJ,117,53.5,26.4
600014118,2017,GY8,CZ062,Městské víceleté gymnázium,CJ,38,38.2,26.3
600014134,2017,GY8,CZ062,Gymnázium T.G. Masaryka,CJ,87,50,29
600014151,2017,GY8,CZ062,Gymnázium a SOŠ,CJ,58,39.9,24.2
600014258,2017,GY8,CZ062,Gymnázium a JŠ s právem st. j. zk.,CJ,95,47,27.1
600014312,2017,GY8,CZ072,Gymnázium,CJ,58,45.1,28
600014321,2017,GY8,CZ072,Gymnázium Jana Pivečky a SOŠ,CJ,28,45.1,28.9
600014363,2017,GY8,CZ072,Gymnázium,CJ,200,50,28.1
600014398,2017,GY8,CZ072,Gymnázium a Jazyková škola s právem SJZ,CJ,174,49.9,27.9
600014533,2017,GY8,CZ062,Klvaňovo gymnázium a SZdrŠ,CJ,72,50,27.4
600014541,2017,GY8,CZ062,Purkyňovo gymnázium,CJ,57,51.9,28.9
600014673,2017,GY8,CZ062,"Gy, OA a JŠ s právem státní JZ",CJ,75,51.2,28.2
600014746,2017,GY8,CZ061,Gymnázium Jihlava,CJ,104,50.2,27.9
600014754,2017,GY8,CZ061,Gymnázium O. Březiny a SOŠ,CJ,44,47.3,26.5
600014932,2017,GY8,CZ061,"Soukromé gymnázium AD FONTES, o.p.s.",CJ,32,59.2,24.9
600014941,2017,GY8,CZ072,Gymnázium Kroměříž,CJ,73,45,26.9
600015050,2017,GY8,CZ072,Gymnázium L. Jaroše,CJ,46,46.8,27.5
600015149,2017,GY8,CZ071,ZŠ a gymnázium města Konice,CJ,40,24.3,23.6
600015157,2017,GY8,CZ071,Gymnázium Jiřího Wolkera,CJ,165,48.4,24.8
600015211,2017,GY8,CZ071,"Cyrilometodějské G, ZŠ a MŠ v Prostějově",CJ,134,48.8,24.2
600015327,2017,GY8,CZ061,Katolické gymnázium,CJ,114,44.3,25.6
600015343,2017,GY8,CZ061,Gymnázium Třebíč,CJ,127,41.6,26.7
600015467,2017,GY8,CZ072,Gymnázium,CJ,168,49.5,28.2
600015530,2017,GY8,CZ072,Gymnázium J.A.Komenského a JŠ s pr.SJZ,CJ,91,50.8,26.8
600015629,2017,GY8,CZ062,Gy a SOŠ zdravotnická a ekonomická,CJ,87,46.5,26.3
600015637,2017,GY8,CZ062,Gymnázium a Obchodní akademie,CJ,82,43.4,27.1
600015700,2017,GY8,CZ062,Gymnázium Dr. Karla Polesného,CJ,100,51.2,27.1
600015785,2017,GY8,CZ062,"Gy, SPgŠ, OA a JŠ s právem státní JZ",CJ,96,48.9,26.9
600015831,2017,GY8,CZ061,Biskupské gymnázium,CJ,75,53.1,27.8
600015866,2017,GY8,CZ061,Gymnázium Velké Meziříčí,CJ,43,46.4,31.1
600015904,2017,GY8,CZ061,Gymnázium V.Makovského se sport. třídami,CJ,36,58.2,26
600015955,2017,GY8,CZ061,Gymnázium Žďár nad Sázavou,CJ,92,55,25.9
600016005,2017,GY8,CZ061,Gymnázium Bystřice nad Pernštejnem,CJ,41,42.1,27.1
600016056,2017,GY8,CZ080,Gymnázium,CJ,55,34.2,26.7
600016064,2017,GY8,CZ080,Všeobecné a sportovní gymnázium,CJ,52,30.7,24.9
600016188,2017,GY8,CZ080,Gymnázium a SOŠ,CJ,23,31.1,29.1
600016269,2017,GY8,CZ080,Gymnázium,CJ,77,47.2,28.1
600016447,2017,GY8,CZ080,"Gymnázium PRIGO, s.r.o.",CJ,44,36.3,22.5
600016455,2017,GY8,CZ080,Gymnázium Fr.Živného,CJ,55,28,24.6
600016463,2017,GY8,CZ080,Gymnázium Josefa Božka,CJ,73,49.1,28.1
600016471,2017,GY8,CZ080,Gymnázium,CJ,123,44.5,26.7
600016480,2017,GY8,CZ080,Gymnázium,CJ,62,43.4,27.5
600016536,2017,GY8,CZ080,Gymnázium a Obchodní akademie,CJ,53,38.6,28.1
600016684,2017,GY8,CZ080,Gymnázium,CJ,113,43.9,25.8
600016714,2017,GY8,CZ080,Masarykovo gymnázium,CJ,66,48.4,26.1
600016749,2017,GY8,CZ080,Gymnázium a SPŠ elektro. a informatiky,CJ,62,47.6,26.9
600016773,2017,GY8,CZ080,Gymnázium M. Koperníka,CJ,43,39.6,26.6
600016927,2017,GY8,CZ071,Gymnázium,CJ,218,57.2,28.3
600016935,2017,GY8,CZ071,Gymnázium,CJ,139,48.3,29.1
600016943,2017,GY8,CZ071,Slovanské gymnázium,CJ,247,57.4,28.4
600016951,2017,GY8,CZ071,Gymnázium,CJ,55,49.9,28.8
600016960,2017,GY8,CZ071,Gymnázium,CJ,63,44.3,28.8
600017036,2017,GY8,CZ071,CÍRKEVNÍ GYMNÁZIUM NĚMECKÉHO ŘÁDU,CJ,63,49.9,26.9
600017117,2017,GY8,CZ071,Gymnázium Jana Opletala,CJ,52,46.3,24.6
600017320,2017,GY8,CZ080,Mendelovo gymnázium,CJ,69,48.8,28
600017451,2017,GY8,CZ080,Gymnázium,CJ,188,48.7,27.6
600017478,2017,GY8,CZ080,Gymnázium Olgy Havlové,CJ,186,52.8,26.7
600017486,2017,GY8,CZ080,Gymnázium,CJ,166,47.1,27.1
600017508,2017,GY8,CZ080,Matiční gymnázium,CJ,231,56.5,27.3
600017516,2017,GY8,CZ080,Sportovní gymnázium D. a  E. Zátopkových,CJ,28,25.9,23.4
600017541,2017,GY8,CZ080,Biskupské gymnázium v Ostravě,CJ,43,46.8,26
600017648,2017,GY8,CZ080,Wichterlovo gymnázium,CJ,183,54.4,28
600017915,2017,GY8,CZ071,Gymnázium Jakuba Škody,CJ,135,47.5,29.4
600017923,2017,GY8,CZ071,Gymnázium,CJ,89,48,29.5
600017974,2017,GY8,CZ071,Gymnázium,CJ,45,42,26
600018008,2017,GY8,CZ071,Gymnázium,CJ,64,47,27.5
600018016,2017,GY8,CZ071,Gymnázium,CJ,70,45,25.5
600018113,2017,GY8,CZ072,"Masarykovo gymnázium, SZdrŠ a VOŠ zdr.",CJ,53,46.8,26.9
600018211,2017,GY8,CZ072,Gymnázium Rožnov pod Radhoštěm,CJ,65,45.1,28.6
600018351,2017,GY8,CZ071,Gymnázium,CJ,50,43.9,30.6
600024938,2017,GY8,CZ062,"INTEGRA BRNO - Gy, ZŠ a MŠ, s.r.o.",CJ,16,39.6,27.8
600063861,2017,GY8,CZ031,Základní škola a Gymnázium,CJ,31,48,29.3
600076431,2017,GY8,CZ042,ZŠ T. G. Masaryka a gymnázium,CJ,35,34.3,21.2
600143074,2017,GY8,CZ080,Základní škola a gymnázium,CJ,20,26.6,23.7
600171701,2017,GY8,CZ010,Gymnázium,CJ,341,60,28.4
600171728,2017,GY8,CZ020,Sportovní gymnázium,CJ,170,46.7,28.1
600171744,2017,GY8,CZ051,"Gymnázium Dr. A. Randy, přísp. org.",CJ,114,49,27.7
600171752,2017,GY8,CZ051,"Gymnázium a SOŠ, příspěvková organizace",CJ,57,48.3,29.3
610380061,2017,GY8,CZ010,"Lauderova MŠ,ZŠ a gymnázium při Žid.obci",CJ,68,50.4,28.6
610380109,2017,GY8,CZ010,"ZŠ něm.-čes. por. a Gym. T.Manna, o.p.s.",CJ,58,58.4,30.9
610451219,2017,GY8,CZ020,"Masarykovo klasické gymnázium, s.r.o.",CJ,122,57,27.5
650004639,2017,GY8,CZ010,Němec.škola s.r.o.-zahran.škola a gymn.,CJ,43,52.7,27.2
650068955,2017,GY8,CZ020,"OPEN GATE - gymnázium a ZŠ, s.r.o.",CJ,51,59.4,27.9
650071484,2017,GY8,CZ062,Gymnázium,CJ,45,46.2,27.3
650076991,2017,GY8,CZ080,"1st IS of Ostrava - mez.gymnázium,s.r.o.",CJ,7,21.4,18.7
650077393,2017,GY8,CZ080,IUVENTAS-Soukr.gymnázium a SOŠ s.r.o.,CJ,8,42.3,40
651040370,2017,GY8,CZ010,Soukr. osm. gymn. DINO-H. SCHOOL s.r.o.,CJ,43,50.4,28.2
691000212,2017,GY8,CZ010,Gymnázium mez.a veř. vztahů Praha s.r.o,CJ,42,47.3,26.5
691000719,2017,GY8,CZ053,Gymnázium Suverénního řádu maltéz.rytířů,CJ,31,44.8,28.6
691000794,2017,GY8,CZ052,"Biskup.gymn.B.Balbína,ZŠ a MŠ J.Pavla II",CJ,303,47.9,29.4
691002142,2017,GY8,CZ052,Městské gymnázium a SOŠ,CJ,38,39.3,27.5
691002339,2017,GY8,CZ020,Gymnázium,CJ,99,56.9,27.3
691003009,2017,GY8,CZ053,Gymnázium a Střední odborná škola,CJ,35,40.8,24.1
691006199,2017,GY8,CZ020,Církevní gymnázium,CJ,101,48.6,27.3
691009619,2017,GY8,CZ010,"Bankovní akademie - Gy a SOŠ, a.s.",CJ,8,45.9,29
600004589,2017,GY6,CZ010,"Gymnázium Jana Nerudy, škola hl.m. Prahy",CJ,446,58.7,28.7
600004961,2017,GY6,CZ010,Gymnázium Na Pražačce,CJ,435,56,27.6
600005089,2017,GY6,CZ010,Gymnázium,CJ,310,49.8,26.9
600005143,2017,GY6,CZ010,Gymnázium,CJ,441,54.9,28.4
600005178,2017,GY6,CZ010,"Gymnázium Evolution, s.r.o.",CJ,49,42.6,26.6
600005267,2017,GY6,CZ010,Klasické gymnázium Modřany a ZŠ,CJ,15,45.5,27.9
600005348,2017,GY6,CZ010,Gymnázium,CJ,198,56.4,28.5
600005500,2017,GY6,CZ010,Gymnázium Oty Pavla,CJ,176,55.7,28.1
600005551,2017,GY6,CZ010,Rakouské gymnázium v Praze o.p.s.,CJ,107,54.8,28.5
600005992,2017,GY6,CZ010,Gymnázium,CJ,73,53.5,31.4
