REDIZO,NAZEV_SKOLY,ADRESA_1,ADRESA_2,ADRESA_3,OKRES,PRAVNI_FORMA,ZRIZOVATEL,NAZEV_SKOLA,IZO,KAPACITA_SKOLA,ADRESA_KOMPLET,LAT,LON
600001431,"Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov",Koněvova 100,Bohosudov,417 42 Krupka,CZ0426,641,6,Střední škola,108019578,300,"Koněvova 100, Bohosudov, 417 42 Krupka",50.68108,13.8728
600001661,"Academic School, Mateřská škola, základní škola a střední škola, s.r.o.",Studentské náměstí 1531,Mařatice,686 01 Uherské Hradiště,CZ0722,112,5,Střední škola,181134799,80,"Studentské náměstí 1531, Mařatice, 686 01 Uherské Hradiště",49.07087,17.47192
600001873,"Gymnázium a Hudební škola hlavního města Prahy, základní umělecká škola",Komenského náměstí 400/9,Žižkov,130 00 Praha 3,CZ0113,331,7,Střední škola,181033666,310,"Komenského náměstí 400/9, Žižkov, 130 00 Praha 3",50.08637,14.45709
600004520,Obchodní akademie Dušní,Dušní 1083/7,Staré Město,110 00 Praha 1,CZ0111,331,7,Střední škola,000638447,600,"Dušní 1083/7, Staré Město, 110 00 Praha 1",50.08962,14.42078
600004546,"Gymnázium Jiřího Gutha-Jarkovského, Praha 1, Truhlářská 22",Truhlářská 1120/22,Nové Město,110 00 Praha 1,CZ0111,331,7,Střední škola,060446218,480,"Truhlářská 1120/22, Nové Město, 110 00 Praha 1",50.09085,14.43135
600004554,"Střední průmyslová škola sdělovací techniky, Praha 1, Panská 3",Panská 856/3,Nové Město,110 00 Praha 1,CZ0111,331,7,Střední škola,061388866,720,"Panská 856/3, Nové Město, 110 00 Praha 1",50.08486,14.42678
600004562,"Vyšší odborná škola grafická a Střední průmyslová škola grafická, Praha 1, Hellichova 22",Hellichova 535/22,Malá Strana,118 00 Praha 1,CZ0111,331,7,Střední škola,000638595,330,"Hellichova 535/22, Malá Strana, 118 00 Praha 1",50.08475,14.40289
600004589,"Gymnázium Jana Nerudy, škola hlavního města Prahy, Praha 1, Hellichova 3",Hellichova 457/3,Malá Strana,118 00 Praha 1,CZ0111,331,7,Střední škola,110001656,880,"Hellichova 457/3, Malá Strana, 118 00 Praha 1",50.08425,14.4052
600004597,"Malostranské gymnázium, Praha 1, Josefská 7",Josefská 626/7,Malá Strana,118 00 Praha 1,CZ0111,331,7,Střední škola,063109662,480,"Josefská 626/7, Malá Strana, 118 00 Praha 1",50.08823,14.40537
600004619,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Dušní 900/17,Staré Město,110 00 Praha 1,CZ0111,331,7,Střední škola,061388726,540,"Dušní 900/17, Staré Město, 110 00 Praha 1",50.0913,14.4202
