ROK;NAROZENI;OKRES;KRAJ;ID_KRAJ
2006;12530;Hlavní město Praha ;Praha;CZ010
2006;988;Benešov;Středočeský;CZ020
2006;914;Beroun;Středočeský;CZ020
2006;1607;Kladno;Středočeský;CZ020
2006;1049;Kolín;Středočeský;CZ020
2006;685;Kutná Hora;Středočeský;CZ020
2006;1051;Mělník;Středočeský;CZ020
2006;1215;Mladá Boleslav;Středočeský;CZ020
2006;960;Nymburk;Středočeský;CZ020
2006;1396;Praha-východ;Středočeský;CZ020
2006;1281;Praha-západ;Středočeský;CZ020
2006;1022;Příbram;Středočeský;CZ020
2006;573;Rakovník;Středočeský;CZ020
2006;1886;České Budějovice;Jihočeský;CZ031
2006;685;Český Krumlov;Jihočeský;CZ031
2006;902;Jindřichův Hradec;Jihočeský;CZ031
2006;644;Písek;Jihočeský;CZ031
2006;530;Prachatice;Jihočeský;CZ031
2006;714;Strakonice;Jihočeský;CZ031
2006;1009;Tábor;Jihočeský;CZ031
2006;615;Domažlice;Plzeňský;CZ032
2006;884;Klatovy;Plzeňský;CZ032
2006;1711;Plzeň-město;Plzeňský;CZ032
2006;766;Plzeň-jih;Plzeňský;CZ032
2006;789;Plzeň-sever;Plzeňský;CZ032
2006;431;Rokycany;Plzeňský;CZ032
2006;607;Tachov;Plzeňský;CZ032
2006;963;Cheb;Karlovarský;CZ041
2006;1233;Karlovy Vary;Karlovarský;CZ041
2006;1005;Sokolov;Karlovarský;CZ041
2006;1439;Děčín;Ústecký;CZ042
2006;1300;Chomutov;Ústecký;CZ042
2006;1185;Litoměřice;Ústecký;CZ042
2006;921;Louny;Ústecký;CZ042
2006;1284;Most;Ústecký;CZ042
2006;1434;Teplice;Ústecký;CZ042
2006;1372;Ústí nad Labem;Ústecký;CZ042
2006;1100;Česká Lípa;Liberecký;CZ051
2006;890;Jablonec nad Nisou;Liberecký;CZ051
2006;1736;Liberec ;Liberecký;CZ051
2006;740;Semily;Liberecký;CZ051
2006;1606;Hradec Králové;Královéhradecký;CZ052
2006;741;Jičín;Královéhradecký;CZ052
2006;1157;Náchod;Královéhradecký;CZ052
2006;828;Rychnov nad Kněžnou;Královéhradecký;CZ052
2006;1159;Trutnov;Královéhradecký;CZ052
2006;1038;Chrudim;Pardubický;CZ053
2006;1638;Pardubice;Pardubický;CZ053
2006;1039;Svitavy;Pardubický;CZ053
2006;1533;Ústí nad Orlicí;Pardubický;CZ053
2006;922;Havlíčkův Brod;Kraj Vysočina;CZ061
2006;1184;Jihlava;Kraj Vysočina;CZ061
2006;691;Pelhřimov;Kraj Vysočina;CZ061
2006;1106;Třebíč;Kraj Vysočina;CZ061
2006;1210;Žďár nad Sázavou;Kraj Vysočina;CZ061
2006;1047;Blansko;Jihomoravský;CZ062
2006;4056;Brno-město;Jihomoravský;CZ062
2006;1920;Brno-venkov;Jihomoravský;CZ062
2006;1166;Břeclav;Jihomoravský;CZ062
2006;1443;Hodonín;Jihomoravský;CZ062
2006;813;Vyškov;Jihomoravský;CZ062
2006;1067;Znojmo;Jihomoravský;CZ062
2006;374;Jeseník;Olomoucký;CZ071
2006;2400;Olomouc;Olomoucký;CZ071
2006;1076;Prostějov;Olomoucký;CZ071
2006;1350;Přerov;Olomoucký;CZ071
2006;1228;Šumperk;Olomoucký;CZ071
2006;992;Kroměříž;Zlínský;CZ072
2006;1338;Uherské Hradiště;Zlínský;CZ072
2006;1399;Vsetín;Zlínský;CZ072
2006;1883;Zlín;Zlínský;CZ072
2006;955;Bruntál;Moravskoslezský;CZ080
2006;2199;Frýdek-Místek;Moravskoslezský;CZ080
2006;2534;Karviná;Moravskoslezský;CZ080
2006;1598;Nový Jičín;Moravskoslezský;CZ080
2006;1854;Opava;Moravskoslezský;CZ080
2006;3241;Ostrava-město;Moravskoslezský;CZ080
